name,team,nationality_1,jersey_number,position_1,position_2,archetype,height_ft,weight_lb,wingspan_ft,season_salary,years_in_the_nba,birthdate,rating_overall,rating_close_shot,rating_mid_range_shot,rating_three_point_shot,rating_free_throw,rating_shot_iq,rating_speed,rating_agility,rating_strength,rating_stamina,rating_overall_durability,rating_pass_accuracy,rating_ball_handle,rating_pass_iq,rating_group_defense,rating_interior_defense,rating_perimeter_defense,rating_steal,rating_block,rating_offensive_rebound,rating_defensive_rebound,age,points,games_played,games_started,minutes_played,field_goals,field_goal_attempts,field_goal_percentage,three_pointers,three_point_attempts,three_point_percentage,two_pointers,two_point_attempts,two_point_percentage,effective_field_goal_percentage,free_throws,free_throw_attempts,free_throw_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls
Desmond Bane,Memphis Grizzlies,United States,22,SG,SF,2-Way 3-Level Shot Creator,"6'5""",215,"6'4""",34005250,5,1995-06-25,83,80,85,88,86,50,74,80,56,92,78,80,82,80,67,59,80,43,53,37,54,25,23.7,42,42,34.4,8.6,18.5,0.464,3.3,8.6,0.381,5.3,9.9,0.536,0.552,3.3,3.8,0.87,0.9,3.5,4.4,5.5,1,0.5,2.7,2.9
Devin Booker,Phoenix Suns,United States,1,PG,SG,Offensive Architect,"6'6""",206,"6'8""",49205800,10,1996-10-30,93,97,94,87,91,80,83,80,59,95,81,95,93,96,63,58,77,40,50,38,52,27,27.1,68,68,36,9.4,19.2,0.492,2.2,6.1,0.364,7.2,13,0.552,0.55,6,6.7,0.886,0.8,3.7,4.5,6.9,0.9,0.4,2.6,3
Devin Carter,Sacramento Kings,United States,22,PG,SF,Rim Attacker,"6'3""",195,"6'7""",4689000,1,2002-03-18,71,74,67,73,74,50,98,89,60,92,80,79,79,79,62,58,73,55,55,47,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Devin Vassell,San Antonio Spurs,United States,24,SG,SF,2-Way Perimeter Shot Creator,"6'5""",200,"6'10""",29347826,5,2000-08-23,81,95,91,81,79,50,72,83,60,89,82,76,82,79,68,62,83,43,45,31,53,23,19.5,68,62,33.1,7.3,15.5,0.472,2.4,6.6,0.372,4.9,9,0.544,0.55,2.4,3,0.801,0.4,3.4,3.8,4.1,1.1,0.3,1.6,1.1
Devonte' Graham,Portland Trail Blazers,United States,3,PG,SG,Inside the Arc Shot Creator,"6'1""",195,"6'6""",2850000,7,1995-02-22,72,74,76,72,75,70,82,82,34,95,83,82,86,83,52,30,70,42,37,33,52,28,5,23,0,13.6,1.7,4.7,0.352,1.1,3.6,0.301,0.6,1.1,0.52,0.468,0.6,0.7,0.813,0.2,1.3,1.6,2.1,0.4,0.1,0.7,0.6
Dillon Brooks,Houston Rockets,Canada,9,SF,PF,2-Way Perimeter Shot Creator,"6'6""",225,"6'6""",22255493,8,1996-01-22,79,76,86,79,84,50,75,91,65,88,85,59,74,58,74,67,91,58,35,37,48,28,12.7,72,72,30.9,4.6,10.7,0.428,1.8,5.1,0.359,2.7,5.5,0.492,0.515,1.7,2,0.844,0.7,2.7,3.4,1.7,0.9,0.1,1.2,3.3
Dillon Jones,Oklahoma City Thunder,United States,3,PF,SF,Perimeter Defender,"6'6""",235,"6'10""",2622360,1,2001-10-29,69,72,70,72,80,50,75,82,70,85,80,68,70,69,59,67,69,60,37,62,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D.J. Carton,Toronto Raptors,United States,3,PG,NA,3PT Threat,"6'3""",200,"6'7""",NA,4,2000-08-05,68,75,73,79,78,50,82,80,49,85,80,75,79,63,49,45,66,45,30,40,43,23,2.8,4,0,9,0.8,2,0.375,0.3,1,0.25,0.5,1,0.5,0.438,1,1.3,0.8,0.5,0.5,1,0.8,0.3,0,0.3,0.8
Domantas Sabonis,Sacramento Kings,Lithuania,11,C,NA,3-Level Scoring Playmaker,"6'10""",240,"6'11""",40500000,9,1996-05-03,88,97,81,81,73,85,48,49,82,95,86,82,60,85,55,70,49,40,55,84,94,27,19.4,82,82,35.7,7.7,13,0.594,0.4,1.1,0.379,7.3,12,0.613,0.609,3.6,5.1,0.704,3.6,10.1,13.7,8.2,0.9,0.6,3.3,3
Dominick Barlow,Atlanta Hawks,United States,26,C,PF,Rebounder,"6'9""",215,"7'1""",NA,3,2003-05-26,70,84,73,72,72,55,68,68,62,80,80,51,69,52,50,50,47,42,67,77,69,20,4.4,33,1,12.7,1.7,3.4,0.496,0.1,0.3,0.333,1.6,3.2,0.51,0.509,0.9,1.3,0.69,1.4,2.1,3.4,1.1,0.4,0.4,0.3,1.4
Donovan Clingan,Portland Trail Blazers,United States,23,C,NA,Paint Protector,"7'3""",265,"7'7""",6836400,1,2004-02-23,73,72,59,42,57,60,44,45,72,82,80,55,46,62,67,77,49,50,83,68,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donovan Mitchell,Cleveland Cavaliers,United States,45,SG,PG,Offensive Architect,"6'3""",215,"6'10""",35410310,8,1996-09-07,92,88,94,85,88,80,95,90,60,96,80,84,90,92,73,68,75,80,53,38,59,27,26.6,55,55,35.3,9.1,19.8,0.462,3.3,9,0.368,5.8,10.8,0.539,0.545,5,5.8,0.865,0.8,4.3,5.1,6.1,1.8,0.5,2.8,2.1
Donte DiVincenzo,Minnesota Timberwolves,United States,0,SG,SF,3 & D Two Guard,"6'4""",203,"6'6""",11445000,7,1997-01-31,80,88,81,84,72,80,87,87,60,90,81,77,79,74,74,58,82,70,53,40,52,27,15.5,81,63,29.1,5.5,12.4,0.443,3.5,8.7,0.401,2,3.7,0.542,0.584,1.1,1.4,0.754,0.8,2.9,3.7,2.7,1.3,0.4,1.4,2
Dorian Finney-Smith,Brooklyn Nets,United States,28,PF,C,2-Way Inside-Out Threat,"6'7""",220,"7'0""",14924167,9,1993-05-04,76,70,71,79,76,90,67,82,62,80,81,65,60,68,68,72,83,42,57,55,55,30,8.5,68,56,28.4,3.2,7.5,0.421,1.7,4.9,0.348,1.4,2.6,0.56,0.535,0.5,0.7,0.717,1.6,3.1,4.7,1.6,0.8,0.6,0.9,2.2
Draymond Green,Golden State Warriors,United States,23,PF,C,2-Way Stretch Point Four,"6'6""",230,"7'1""",24107143,13,1990-03-04,83,94,61,80,83,55,73,82,85,85,88,83,78,92,81,88,86,53,68,52,83,33,8.6,55,52,27.1,3.4,6.8,0.497,0.9,2.3,0.395,2.4,4.4,0.551,0.566,1,1.3,0.73,1.4,5.9,7.2,6,1,0.9,2.5,3
Drew Eubanks,Utah Jazz,United States,15,C,NA,Interior Threat,"6'10""",245,"7'0""",NA,7,1997-02-01,74,92,73,54,86,88,61,62,68,80,83,42,37,55,54,60,47,38,82,72,76,26,5.1,75,6,15.6,2,3.4,0.601,0,0,1,2,3.3,0.596,0.607,1,1.2,0.774,1.4,2.9,4.3,0.8,0.4,0.8,0.8,1.5
Drew  Peterson,Boston Celtics,United States,13,SF,PF,Catch & Shoot Threat,"6'9""",205,"7'1""",NA,2,1999-11-09,70,70,74,79,75,50,59,58,62,85,80,69,68,68,45,52,43,40,42,58,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dru Smith,Miami Heat,United States,12,PG,SG,Ball Hawk,"6'2""",200,"6'6""",NA,4,1997-12-30,71,57,74,76,84,75,70,70,43,85,80,74,76,74,62,40,63,88,62,51,42,26,4.3,9,0,14.6,1.7,3.7,0.455,0.8,1.9,0.412,0.9,1.8,0.5,0.561,0.2,0.2,1,0.7,0.9,1.6,1.6,1,0.3,0.6,1.3
Duane Washington Jr.,Charlotte Hornets,Germany,4,PG,SG,Perimeter Threat,"6'2""",197,"6'8""",NA,4,2000-03-24,71,82,80,80,67,84,79,79,42,80,80,66,74,68,50,47,62,33,47,27,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duncan Robinson,Miami Heat,United States,55,SG,SF,Catch & Shoot Ace,"6'7""",215,"7'1""",19406000,7,1994-04-22,77,89,81,86,80,85,59,65,35,85,83,66,72,70,45,50,52,40,45,29,48,29,12.9,68,36,28,4.5,9.9,0.45,2.8,7,0.395,1.7,3,0.579,0.589,1.2,1.3,0.889,0.2,2.3,2.5,2.8,0.7,0.2,1.4,2.4
Duop Reath,Portland Trail Blazers,Australia,26,C,NA,Stretch Five,"6'9""",245,"7'1""",2048780,7,1996-06-26,74,85,68,80,80,95,59,52,73,83,80,40,52,44,53,62,37,41,67,65,64,27,9.1,68,20,17.9,3.4,7.3,0.461,1.3,3.6,0.359,2.1,3.7,0.559,0.549,1,1.4,0.742,1.4,2.3,3.7,1,0.5,0.6,0.8,2.4
Dwight Powell,Dallas Mavericks,Canada,7,C,NA,Inside-Out Scoring Threat,"6'10""",240,"7'1""",4000000,11,1991-07-20,73,92,65,78,81,30,71,58,80,90,83,55,60,64,61,74,45,43,61,83,64,32,3.3,63,9,13.3,1.1,1.7,0.679,0,0,0.333,1.1,1.6,0.689,0.684,1,1.4,0.708,1.5,1.9,3.4,1.3,0.4,0.3,0.5,1.8
Dyson Daniels,Atlanta Hawks,Australia,5,PG,SG,2-Way Rim Attacker,"6'7""",199,"6'11""",6059520,3,2003-03-17,74,94,72,73,67,60,79,84,52,89,80,82,86,82,74,57,79,96,57,50,61,20,5.8,61,16,22.3,2.3,5.1,0.447,0.7,2.2,0.311,1.6,2.9,0.551,0.514,0.6,0.9,0.642,1,2.9,3.9,2.7,1.4,0.4,1,1.7
Emoni Bates,Cleveland Cavaliers,United States,21,SF,SG,Perimeter Shot Creator,"6'8""",170,"6'9""",NA,2,2004-01-28,68,77,80,77,78,50,69,69,42,85,80,55,77,52,41,43,53,40,30,46,52,20,2.7,15,0,8.9,1,3.3,0.306,0.7,2.2,0.303,0.3,1.1,0.313,0.408,0.1,0.3,0.25,0.1,0.9,0.9,0.7,0.1,0.1,0.5,0.3
Enrique Freeman,Indiana Pacers,United States,8,PF,C,Interior Threat,"6'7""",214,"6'11""",NA,1,2000-07-29,68,74,66,66,67,35,74,74,60,88,80,59,62,60,60,66,66,44,65,67,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eric Gordon,Philadelphia 76ers,Bahamas,23,SG,SF,Perimeter Shot Creator,"6'3""",215,"6'9""",3303771,17,1988-12-25,76,81,82,83,79,60,79,79,60,92,78,69,79,73,58,42,73,49,53,30,40,35,11,68,24,27.8,4,9.1,0.443,2.2,5.8,0.378,1.8,3.3,0.561,0.565,0.8,0.9,0.797,0.2,1.6,1.8,2,1,0.4,1.1,1.2
Evan Mobley,Cleveland Cavaliers,United States,4,PF,C,Switchable Lockdown Defender,"6'11""",215,"7'4""",11227657,4,2001-06-18,86,85,69,74,72,70,72,79,74,97,80,69,60,84,82,92,82,43,81,65,87,22,15.7,50,50,30.6,6.4,11,0.58,0.4,1.2,0.373,6,9.9,0.604,0.6,2.5,3.4,0.719,2.2,7.1,9.4,3.2,0.9,1.4,1.8,2.7
Franz Wagner,Orlando Magic,Germany,22,SF,SG,Rim Attacker,"6'10""",220,"7'0""",7007092,4,2001-08-27,86,94,70,74,87,75,70,73,65,85,80,80,85,84,63,56,73,46,51,42,65,22,19.7,72,72,32.5,7.3,15.2,0.482,1.3,4.6,0.281,6,10.6,0.57,0.525,3.8,4.4,0.85,1,4.3,5.3,3.7,1.1,0.4,1.9,2.3
Fred VanVleet,Houston Rockets,United States,5,PG,NA,2-Way Playmaking Sharpshooter,"6'0""",197,"6'2""",42846615,9,1994-02-25,84,81,92,82,86,75,83,83,42,95,82,89,86,92,65,27,83,53,60,31,49,29,17.4,73,73,36.8,5.8,13.9,0.416,3.1,8,0.387,2.7,5.9,0.454,0.527,2.7,3.1,0.86,0.5,3.4,3.8,8.1,1.4,0.8,1.7,2.5
Gabe Vincent,Los Angeles Lakers,Nigeria,7,PG,SG,Perimeter Threat,"6'2""",200,"6'7""",11000000,7,1996-06-14,74,91,93,75,87,70,73,73,40,85,82,78,80,79,49,37,60,59,25,35,31,27,3.1,11,0,19.8,1.4,4.5,0.306,0.3,2.5,0.107,1.1,1.9,0.571,0.337,0.1,0.2,0.5,0.4,0.5,0.8,1.9,0.8,0,0.5,1.7
Garrett Temple,Toronto Raptors,United States,17,SG,SF,Perimeter Defender,"6'5""",195,"6'9""",2087519,16,1986-05-08,70,82,55,72,79,70,57,76,44,85,82,75,75,74,64,46,78,59,47,58,51,37,3.3,27,2,10.7,1.1,2.9,0.372,0.4,1.5,0.3,0.6,1.4,0.447,0.449,0.7,0.8,0.818,0.7,1,1.7,1,0.4,0.1,0.5,1
Garrison Mathews,Atlanta Hawks,United States,25,SF,SG,Perimeter Shot Creator,"6'6""",215,"6'9""",2230253,6,1996-10-24,72,74,81,88,91,60,50,60,44,89,79,71,76,82,48,42,59,37,42,34,46,27,4.9,66,5,15,1.6,3.4,0.456,1.3,2.9,0.44,0.3,0.5,0.545,0.644,0.5,0.6,0.81,0.3,1.1,1.4,0.6,0.3,0.1,0.3,1.7
Gary Harris,Orlando Magic,United States,14,SG,SF,2-Way 3-Level Shot Creator,"6'4""",210,"6'7""",7500000,11,1994-09-14,75,93,79,81,79,60,75,80,53,85,83,75,76,75,67,68,82,56,50,36,40,29,6.9,54,27,24,2.4,5.5,0.441,1.4,3.8,0.371,1,1.7,0.598,0.569,0.6,0.8,0.756,0.4,1.2,1.7,1.6,0.9,0.3,0.6,1.7
Gary Payton II,Golden State Warriors,United States,0,SF,SG,Versatile Stopper,"6'2""",195,"6'8""",9130000,9,1992-12-01,75,94,65,79,66,25,81,83,48,85,83,75,78,72,82,79,83,86,63,62,51,31,5.5,44,0,15.5,2.3,4.2,0.563,0.5,1.3,0.364,1.9,2.9,0.648,0.617,0.3,0.5,0.609,1,1.5,2.6,1.1,0.9,0.4,0.6,1.8
Gary Trent Jr.,Milwaukee Bucks,United States,5,SG,SF,Shot-Creating 3-Level Threat,"6'5""",209,"6'9""",NA,7,1999-01-18,78,83,76,83,59,70,85,85,58,80,82,70,79,71,52,50,61,56,35,32,47,25,13.7,71,41,28.1,5.1,11.9,0.426,2.5,6.4,0.393,2.6,5.5,0.464,0.531,1,1.4,0.771,0.4,2.3,2.6,1.7,1.1,0.1,0.7,1.4
Georges Niang,Cleveland Cavaliers,United States,20,PF,NA,Stretch Four,"6'7""",230,"6'10""",8500000,9,1993-06-17,73,90,84,81,88,60,44,55,60,88,84,65,67,70,51,60,55,35,47,32,65,30,9.4,82,10,22.3,3.5,7.7,0.449,1.8,4.8,0.376,1.6,2.9,0.572,0.567,0.6,0.7,0.85,0.3,3.1,3.4,1.2,0.4,0.2,0.9,2.3
Giannis Antetokounmpo,Milwaukee Bucks,Greece,34,PF,C,2-Way Slashing Point Four,"6'11""",243,"7'4""",48787676,12,1994-12-06,97,96,72,68,67,85,89,86,94,98,91,84,87,95,87,90,87,76,80,66,88,29,30.4,73,73,35.2,11.5,18.8,0.611,0.5,1.7,0.274,11,17.1,0.645,0.624,7,10.7,0.657,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9
Goga Bitadze,Orlando Magic,Georgia,35,C,NA,Board-Hunting Lob Threat,"6'11""",250,"7'2""",9057971,6,1999-07-20,73,84,62,65,71,65,53,54,84,80,80,54,60,69,57,64,25,43,92,86,80,24,5,62,33,15.4,2,3.4,0.603,0,0.2,0.143,2,3.1,0.636,0.608,0.9,1.4,0.655,1.8,2.9,4.6,1.3,0.5,1.2,0.7,1.7
Gradey Dick,Toronto Raptors,United States,1,SG,SF,Inside-Out Shot Creator,"6'6""",205,"6'9""",4763760,2,2003-11-20,76,84,73,82,85,70,73,74,54,89,80,70,77,68,55,55,73,41,27,36,48,20,8.5,60,17,21.1,3.2,7.4,0.425,1.5,4,0.365,1.7,3.4,0.495,0.524,0.7,0.9,0.863,0.5,1.8,2.2,1.1,0.6,0,0.8,1.5
Grant Williams,Charlotte Hornets,United States,2,PF,C,Stretch Four,"6'6""",236,"6'10""",13025250,6,1998-11-30,76,81,73,81,77,70,58,70,73,88,80,69,66,72,60,68,68,37,56,47,55,25,10.3,76,43,28,3.6,8,0.456,1.7,4.4,0.375,2,3.5,0.558,0.56,1.4,1.8,0.757,1.1,3.1,4.2,2.3,0.6,0.5,1.4,3
Grayson Allen,Phoenix Suns,United States,8,SF,SG,Inside-Out Shot Creator,"6'4""",198,"6'7""",15625000,7,1995-10-08,78,87,70,93,91,60,84,78,44,85,82,70,78,78,56,35,72,41,56,36,51,28,13.5,75,74,33.5,4.5,9.1,0.499,2.7,5.9,0.461,1.8,3.2,0.57,0.649,1.7,2,0.878,0.6,3.3,3.9,3,0.9,0.6,1.3,2.1
G.G. Jackson,Memphis Grizzlies,United States,45,SF,SF,Inside-Out Scoring Threat,"6'9""",210,"7'0""",1891857,2,2004-12-17,78,70,70,80,70,65,82,79,62,88,80,59,62,50,56,58,58,38,57,47,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guerschon Yabusele,Philadelphia 76ers,France,28,PF,C,3-Level Scoring Threat,"6'8""",260,"7'0""",NA,9,1995-12-17,74,80,75,80,79,75,62,60,74,80,84,57,62,52,50,62,66,46,44,52,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gui Santos,Golden State Warriors,Brazil,15,PF,SF,Stretch Four,"6'7""",185,"6'11""",1891857,3,2002-06-22,71,73,69,79,65,70,73,72,50,80,86,57,62,55,60,66,69,58,52,53,58,21,3.6,23,0,8.3,1.2,2.4,0.509,0.4,1.2,0.37,0.8,1.2,0.643,0.6,0.7,0.7,0.941,0.7,1.4,2.1,0.6,0.2,0.1,0.3,1
Harrison Barnes,San Antonio Spurs,United States,40,SF,PF,Shot-Creating 3-Level Threat,"6'8""",225,"6'11""",18000000,13,1992-05-30,77,96,87,82,83,50,77,75,70,92,82,72,78,75,58,67,75,38,37,40,47,31,12.2,82,82,29,4.2,8.9,0.474,1.8,4.7,0.387,2.4,4.2,0.571,0.576,1.9,2.4,0.801,0.8,2.2,3,1.2,0.7,0.1,0.7,1.2
Harrison Ingram,San Antonio Spurs,United States,55,PF,SF,Promising Prospect,"6'7""",230,"6'11""",NA,1,2002-11-27,69,73,73,74,62,50,82,75,73,88,80,62,70,62,56,60,62,49,39,59,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harry Giles III,Charlotte Hornets,United States,20,C,PF,Mid-Range Scoring Threat,"6'10""",240,"7'3""",NA,8,1998-04-22,69,75,79,61,77,40,68,67,65,75,79,65,40,74,53,65,40,38,70,68,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haywood Highsmith,Miami Heat,United States,24,PF,SF,Stretch Four,"6'5""",220,"7'0""",5200000,7,1996-12-09,74,92,70,83,81,80,70,81,50,80,86,55,70,55,69,60,79,56,61,51,55,27,6.1,66,26,20.7,2.3,5,0.465,1.2,2.9,0.396,1.2,2.1,0.562,0.581,0.3,0.5,0.639,1,2.2,3.2,1.1,0.8,0.5,0.5,1.8
Herbert Jones,New Orleans Pelicans,United States,2,SG,SF,3 & D Two Guard,"6'7""",206,"7'0""",12976362,4,1998-10-06,82,76,78,85,86,75,74,93,59,82,80,69,75,75,81,62,94,80,66,42,48,25,11,76,76,30.5,3.9,7.7,0.498,1.5,3.6,0.418,2.4,4.1,0.568,0.595,1.8,2.1,0.867,1,2.6,3.6,2.6,1.4,0.8,1.2,2.9
Hunter Tyson,Denver Nuggets,United States,5,PF,SF,Stretch Four,"6'8""",215,"6'10""",1891857,2,2000-06-13,70,72,76,75,80,70,68,68,52,88,80,65,68,65,55,58,62,57,55,55,57,23,1.1,18,0,2.7,0.4,1.1,0.4,0.2,0.8,0.286,0.2,0.3,0.667,0.5,0,0,0,0.1,0.4,0.5,0.1,0.1,0,0.1,0.6
Immanuel Quickley,Toronto Raptors,United States,5,PG,SG,2-Way Inside-Out Playmaker,"6'2""",190,"6'8""",32500000,5,1999-06-17,81,85,71,83,89,75,82,82,54,89,79,84,86,84,59,37,80,40,37,29,60,24,17,68,38,29.2,5.7,13.1,0.434,2.5,6.4,0.395,3.2,6.8,0.471,0.53,3.1,3.6,0.853,0.3,3.6,3.8,4.9,0.7,0.1,1.5,1.8
Isaac Okoro,Cleveland Cavaliers,United States,35,SF,SG,Versatile Stopper,"6'5""",225,"6'9""",NA,5,2001-01-26,76,80,60,81,69,70,77,85,67,89,82,69,72,69,71,68,84,43,56,45,45,23,9.4,69,42,27.3,3.4,7,0.49,1.2,3.1,0.391,2.2,3.8,0.57,0.577,1.3,2,0.679,1,2,3,1.9,0.8,0.5,0.8,2
Isaiah Collier,Utah Jazz,United States,13,PG,SG,Tempo-Pushing Point,"6'4""",193,"6'8""",2512680,1,2004-10-08,70,73,65,72,67,50,95,88,60,89,80,65,86,65,53,30,62,65,47,32,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Hartenstein,Oklahoma City Thunder,Germany,55,C,NA,Board-Hunting Lob Threat,"7'0""",250,"7'2""",30000000,8,1998-05-05,81,95,70,55,67,75,62,62,84,80,77,50,56,60,60,43,41,70,81,90,82,25,7.8,75,49,25.3,3.1,4.9,0.644,0,0,0.333,3.1,4.8,0.646,0.645,1.5,2.1,0.707,3.3,5.1,8.3,2.5,1.2,1.1,1.2,2.8
Isaiah Jackson,Indiana Pacers,United States,22,C,PF,Board-Hunting Lob Threat,"6'9""",205,"7'3""",4435381,4,2002-01-10,76,82,69,59,71,55,73,73,65,82,80,40,59,44,64,70,54,63,89,89,79,22,6.5,59,3,13.1,2.6,3.9,0.665,0,0.1,0,2.6,3.9,0.677,0.665,1.2,1.7,0.716,1.6,2.4,4,0.8,0.6,1,0.7,2.3
Isaiah Joe,Oklahoma City Thunder,United States,11,SG,PG,Shot-Creating 3-Level Threat,"6'3""",165,"6'8""",12991650,5,1999-07-02,78,81,94,85,84,80,72,77,47,80,87,67,74,69,54,42,69,43,53,37,52,24,8.2,78,1,18.5,2.8,6.2,0.458,1.9,4.5,0.416,1,1.7,0.568,0.609,0.6,0.7,0.865,0.4,1.9,2.3,1.3,0.6,0.3,0.6,1.1
Isaiah Mobley,Philadelphia 76ers,United States,15,C,PF,Rebounder,"6'8""",238,"7'3""",NA,3,1999-09-24,69,68,70,70,68,65,58,58,62,87,80,68,49,75,51,61,44,41,69,60,81,24,2.3,10,0,7.2,1,2.4,0.417,0.3,1,0.3,0.7,1.4,0.5,0.479,0,0.1,0,0.3,0.7,1,0.6,0.2,0,0.2,0.6
Isaiah Stewart,Detroit Pistons,United States,28,PF,C,3-Level Scoring Threat,"6'8""",250,"7'4""",15000000,5,2001-05-22,76,93,76,82,79,75,63,62,86,89,77,44,34,50,55,70,54,32,62,53,71,22,10.9,46,45,30.9,4,8.3,0.487,1.5,3.8,0.383,2.6,4.5,0.575,0.575,1.4,1.8,0.753,1.6,5,6.6,1.6,0.4,0.8,1.4,2.2
Ivica Zubac,Los Angeles Clippers,Croatia,40,C,NA,Paint Beast,"7'0""",240,"7'4""",11743210,9,1997-03-18,82,98,74,26,70,80,26,45,80,80,80,70,35,47,55,77,34,32,81,84,87,26,11.7,68,68,26.4,5,7.6,0.649,0,0,0,5,7.6,0.649,0.649,1.8,2.4,0.723,2.9,6.3,9.2,1.4,0.3,1.2,1.2,2.6
Ja Morant,Memphis Grizzlies,United States,12,PG,NA,3-Level Playmaking Slasher,"6'2""",174,"6'7""",36725670,6,1999-08-10,90,89,90,75,76,70,95,95,52,97,80,96,96,95,67,49,72,60,55,41,66,24,25.1,9,9,35.3,8.9,18.9,0.471,1.6,5.7,0.275,7.3,13.2,0.555,0.512,5.8,7.1,0.813,0.7,4.9,5.6,8.1,0.8,0.6,3,2.1
Jabari Smith Jr.,Houston Rockets,United States,10,PF,C,Shot-Creating 3-Level Threat,"6'11""",220,"7'1""",9770880,3,2003-05-13,80,92,80,80,74,70,76,76,60,89,80,65,75,66,61,70,69,37,62,70,79,20,13.7,76,76,31.9,5,11,0.454,1.8,5,0.363,3.2,6,0.53,0.537,2,2.4,0.811,1.8,6.3,8.1,1.6,0.7,0.8,1.2,2.6
Jabari Walker,Portland Trail Blazers,United States,34,PF,SF,Board Hunter,"6'7""",200,"6'11""",2019699,3,2002-07-30,74,72,70,71,77,65,75,75,46,80,80,52,60,54,60,68,68,40,51,68,86,21,8.9,72,23,23.6,3.3,7.1,0.46,0.6,1.9,0.295,2.7,5.1,0.522,0.5,1.8,2.4,0.754,2.1,5,7.1,1,0.6,0.3,0.9,2.4
Jacob Toppin,New York Knicks,United States,00,PF,SF,Interior Threat,"6'8""",200,"6'11""",NA,2,2000-05-08,67,70,69,69,67,50,68,68,62,85,80,50,68,50,58,67,65,38,51,47,62,23,1.4,9,0,4.2,0.6,1,0.556,0.1,0.4,0.25,0.4,0.6,0.8,0.611,0.2,0.2,1,0.3,0.4,0.8,0.3,0,0.1,0.1,0.3
Jaden Hardy,Dallas Mavericks,United States,1,PG,SG,Balanced Offensive Point,"6'3""",198,"6'9""",2019699,3,2002-07-05,73,71,82,80,67,60,83,83,39,84,80,75,83,75,45,34,55,38,35,36,55,21,7.3,73,7,13.5,2.7,6.6,0.407,1.1,3.1,0.362,1.6,3.5,0.447,0.492,0.8,1,0.776,0.3,1.5,1.8,1.5,0.3,0.1,0.8,1.1
Jaden Ivey,Detroit Pistons,United States,23,SG,PG,Shot-Creating 3-Level Threat,"6'4""",195,"6'10""",7977240,3,2002-02-13,78,79,83,77,79,60,91,91,54,92,80,84,86,84,61,59,71,40,56,46,47,21,15.4,77,61,28.8,5.4,12.6,0.429,1.6,4.8,0.336,3.8,7.8,0.485,0.492,2.9,3.9,0.749,1.1,2.3,3.4,3.8,0.7,0.5,2.5,2.6
Jaden McDaniels,Minnesota Timberwolves,United States,3,SF,PF,Switchable Lockdown Defender,"6'9""",185,"7'0""",23017242,5,2000-09-29,80,95,72,78,74,50,79,93,60,85,90,44,78,40,83,83,92,80,57,41,46,23,10.5,72,71,29.2,4.3,8.7,0.489,1.2,3.5,0.337,3.1,5.2,0.592,0.557,0.8,1.1,0.722,0.8,2.3,3.1,1.4,0.9,0.6,1.2,3
Jaden Springer,Boston Celtics,United States,44,SG,SF,Ball Hawk,"6'4""",202,"6'8""",4018363,4,2002-09-25,71,67,73,53,81,50,82,82,49,85,80,75,81,75,70,44,75,90,67,60,49,21,3.3,49,2,10.3,1.2,3,0.399,0.2,1,0.208,1,2,0.49,0.432,0.7,0.9,0.833,0.7,0.9,1.6,0.9,0.7,0.3,0.7,1.3
